sobrenome,codigo,ProximoNome
Albert,A333,Alberti
Alberti,A334,Albi
Albi,A335,Albini
Albini,A336,Albinu
Albinu,A337,Albiz
Albiz,A338,Albo
Albo,A339,Albr
Albr,A341,Albri
Albri,A342,Albriz
Albriz,A343,Albro
Albro,A344,Albu
Albu,A345,Alc
Alc,A346,Alcan
Alcan,A347,Alcar
Alcar,A348,Alcaz
Alcaz,A349,Alce
Alce,A351,Alci
Alci,A352,Alcip
Alcip,A353,Alco
Alco,A354,Alcot
Alcot,A355,Alcu
Alcu,A356,Ald
Ald,A357,Alden
Alden,A358,"Alden,S"
"Alden,S",A359,Alder
Alder,A361,Alders
Alders,A362,Aldi
Aldi,A363,Aldo
Aldo,A364,Aldr
Aldr,A365,Ale
Ale,A366,Alem
Alem,A367,Alen
Alen,A368,Alep
Alep,A369,Ales
Ales,A371,Alessi
Alessi,A372,Alew
Alew,A373,Alex
Alex,A374,"Alexander,C"
"Alexander,C",A375,"Alexander,J"
"Alexander,J",A376,"Alexander,M"
"Alexander,M",A377,"Alexander,S"
"Alexander,S",A378,"Alexander,W"
"Alexander,W",A379,Alexandre
Alexandre,A381,"Alexandre,M"
"Alexandre,M",A382,Alexandro
Alexandro,A383,Alexi
Alexi,A384,Alfa
Alfa,A385,Alfe
Alfe,A386,Alfi
Alfi,A387,Alfo
Alfo,A388,Alford
Alford,A389,Alfr
Alfr,A391,Alfred
Alfred,A392,Alfri
Alfri,A393,Alg
Alg,A394,Alger
Alger,A395,Algh
Algh,A396,Alh
Alh,A397,Ali
Ali,A398,Alif
Alif,A399,Alig
Alig,A411,Alip
Alip,A412,Alis
Alis,A413,"Alison,M"
"Alison,M",A414,Alk
Alk,A415,All
All,A416,Allan
Allan,A417,"Allan,M"
"Allan,M",A418,Allard
Allard,A419,Allas
Allas,A421,Alle
Alle,A422,Allein
Allein,A423,Allem
Allem,A424,Allen
Allen,A425,"Allen,H"
"Allen,H",A426,"Allen,J"
"Allen,J",A427,"Allen,N"
"Allen,N",A428,"Allen,S"
"Allen,S",A429,"Allen,T"
"Allen,T",A431,"Allen,W"
"Allen,W",A432,Allens
Allens,A433,Aller
Aller,A434,Alley
Alley,A435,Alli
Alli,A436,Alling
Alling,A437,Allis
Allis,A438,"Allison,M"
"Allison,M",A439,Allo
Allo,A441,Alls
Alls,A442,Ally
Ally,A443,Alm
Alm,A444,Alman
Alman,A445,Almas
Almas,A446,Alme
Alme,A447,Almen
Almen,A448,Almi
Almi,A449,Almo
Almo,A451,Almon
Almon,A452,Alo
Alo,A453,Alon
Alon,A454,Alos
Alos,A455,Alp
Alp,A456,Alpi
Alpi,A457,Alq
Alq,A458,Alr
Alr,A459,Als
Als,A461,Alsop
Alsop,A462,Alste
Alste,A463,Alsto
Alsto,A464,Alt
Alt,A465,Alte
Alte,A466,Alth
Alth,A467,Alti
Alti,A468,Alto
Alto,A469,Alu
Alu,A471,Alv
Alv,A472,Alvare
Alvare,A473,Alve
Alve,A474,Alvi
Alvi,A475,Alvo
Alvo,A476,Alw
Alw,A477,Alz
Alz,A478,Ama
Ama,A479,Amad
Amad,A481,Amal
Amal,A482,Amalt
Amalt,A483,Aman
Aman,A484,Amar
Amar,A485,Amas
Amas,A486,Amat
Amat,A487,Amato
Amato,A488,Amau
Amau,A489,Amb
Amb,A491,Ambi
Ambi,A492,Ambl
Ambl,A493,Ambo
Ambo,A494,Ambr
Ambr,A495,Ambros
Ambros,A496,Ambu
Ambu,A497,Ame
Ame,A498,Amelo
Amelo,A499,Amen
Amen,A511,Amer
Amer,A512,Ames
Ames,A513,"Ames,M"
"Ames,M",A514,Amh
Amh,A515,Ami
Ami,A516,Amin
Amin,A517,Amm
Amm,A518,Ammir
Ammir,A519,Ammo
Ammo,A521,Amn
Amn,A522,Amo
Amo,A523,Amor
Amor,A524,Amos
Amos,A525,Amp
Amp,A526,Amps
Amps,A527,Ams
Ams,A528,Amu
Amu,A529,Amy
Amy,A531,Ana
Ana,A532,Anam
Anam,A533,Anas
Anas,A534,Anat
Anat,A535,Anax
Anax,A536,Anb
Anb,A537,Anc
Anc,A538,Anch
Anch,A539,Anci
Anci,A541,Anco
Anco,A542,And
And,A543,Anders
Anders,A544,Anderson
Anderson,A545,"Anderson,D"
"Anderson,D",A546,"Anderson,J"
"Anderson,J",A547,"Anderson,M"
"Anderson,M",A548,"Anderson,R"
"Anderson,R",A549,"Anderson,T"
"Anderson,T",A551,"Anderson,W"
"Anderson,W",A552,Andr
Andr,A553,Andral
Andral,A554,Andre
Andre,A555,Andrea
Andrea,A556,Andreas
Andreas,A557,Andree
Andree,A558,Andrei
Andrei,A559,Andres
Andres,A561,Andrew
Andrew,A562,"Andrew,M"
"Andrew,M",A563,Andrewe
Andrewe,A564,Andrews
Andrews,A565,"Andrews,E"
"Andrews,E",A566,"Andrews,J"
"Andrews,J",A567,"Andrews,M"
"Andrews,M",A568,"Andrews,R"
"Andrews,R",A569,"Andrews,T"
"Andrews,T",A571,"Andrews,W"
"Andrews,W",A572,Andri
Andri,A573,Andro
Andro,A574,Andron
Andron,A575,Andros
Andros,A576,Andry
Andry,A577,Ane
Ane,A578,Aner
Aner,A579,Ang
Ang,A581,Angeli
Angeli,A582,Angell
Angell,A583,Angelo
Angelo,A584,Angelu
Angelu,A585,Angen
Angen,A586,Anger
Anger,A587,Angi
Angi,A588,Angl
Angl,A589,Anglu
Anglu,A591,Ango
Ango,A592,Angou
Angou,A593,Angu
Angu,A594,Angus
Angus,A595,Anh
Anh,A596,Ani
Ani,A597,Anim
Anim,A598,Anis
Anis,A599,Ank
Ank,A611,Anl
Anl,A612,Ann
Ann,A613,Annes
Annes,A614,Anni
Anni,A615,Anq
Anq,A616,Ans
Ans,A617,Ansel
Ansel,A618,Ansi
Ansi,A619,Ansl
Ansl,A621,Anso
Anso,A622,Ansp
Ansp,A623,Anst
Anst,A624,Anstey
Anstey,A625,Ansti
Ansti,A626,Ant
Ant,A627,Antho
Antho,A628,Anti
Anti,A629,Antim
Antim,A631,Antio
Antio,A632,Antip
Antip,A633,Anto
Anto,A634,Antoni
Antoni,A635,Antr
Antr,A636,Anv
Anv,A637,Ao
Ao,A638,Ap
Ap,A639,Apel
Apel,A641,Api
Api,A642,Apo
Apo,A643,Apollo
Apollo,A644,Apos
Apos,A645,App
App,A646,Appi
Appi,A647,Appl
Appl,A648,Appleton
Appleton,A649,"Appleton,J"
"Appleton,J",A651,"Appleton,T"
"Appleton,T",A652,Appu
Appu,A653,Apr
Apr,A654,Apt
Apt,A655,Aqu
Aqu,A656,Aquin
Aquin,A657,Ara
Ara,A658,Arag
Arag,A659,Aram
Aram,A661,Aran
Aran,A662,Arat
Arat,A663,Arb
Arb,A664,Arbl
Arbl,A665,Arbo
Arbo,A666,Arbu
Arbu,A667,Arc
Arc,A668,Arch
Arch,A669,Archer
Archer,A671,"Archer,M"
"Archer,M",A672,Archi
Archi,A673,Arci
Arci,A674,Arco
Arco,A675,Ard
Ard,A676,Ardo
Ardo,A677,Are
Are,A678,Areh
Areh,A679,Aren
Aren,A681,Aret
Aret,A682,Aretin
Aretin,A683,Arez
Arez,A684,Arf
Arf,A685,Arg
Arg,A686,Argel
Argel,A687,Argen
Argen,A688,Argent
Argent,A689,Argenti
Argenti,A691,Argi
Argi,A692,Argo
Argo,A693,Argu
Argu,A694,Argy
Argy,A695,Ari
Ari,A696,Arib
Arib,A697,Arid
Arid,A698,Arig
Arig,A699,Arin
Arin,A711,Ario
Ario,A712,Arip
Arip,A713,Aris
Aris,A714,Aristi
Aristi,A715,Aristo
Aristo,A716,Aristop
Aristop,A717,Ariu
Ariu,A718,Ariz
Ariz,A719,Ark
Ark,A721,Arkw
Arkw,A722,Arl
Arl,A723,Arling
Arling,A724,Arlo
Arlo,A725,Arlu
Arlu,A726,Arm
Arm,A727,Arme
Arme,A728,Armi
Armi,A729,Armis
Armis,A731,Armit
Armit,A732,"Armitage,M"
"Armitage,M",A733,Arms
Arms,A734,Armstrong
Armstrong,A735,"Armstrong,J"
"Armstrong,J",A736,"Armstrong,M"
"Armstrong,M",A737,"Armstrong,S"
"Armstrong,S",A738,"Armstrong,W"
"Armstrong,W",A739,Army
Army,A741,Arn
Arn,A742,Arnal
Arnal,A743,Arnau
Arnau,A744,Arnaul
Arnaul,A745,Arnay
Arnay,A746,Arnd
Arnd,A747,Arne
Arne,A748,Arni
Arni,A749,Arno
Arno,A751,Arnold
Arnold,A752,"Arnold,D"
"Arnold,D",A753,"Arnold,G"
"Arnold,G",A754,"Arnold,H"
"Arnold,H",A755,"Arnold,J"
"Arnold,J",A756,"Arnold,M"
"Arnold,M",A757,"Arnold,R"
"Arnold,R",A758,"Arnold,T"
"Arnold,T",A759,"Arnold,W"
"Arnold,W",A761,Arnoldi
Arnoldi,A762,Arnon
Arnon,A763,Arnot
Arnot,A764,Arnou
Arnou,A765,Arnoult
Arnoult,A766,Arns
Arns,A767,Arnu
Arnu,A768,Aro
Aro,A769,Arou
Arou,A771,Arp
Arp,A772,Arr
Arr,A773,Arre
Arre,A774,Arri
Arri,A775,Arrig
Arrig,A776,Arriv
Arriv,A777,Arro
Arro,A778,Arrows
Arrows,A779,Ars
Ars,A781,Arsi
Arsi,A782,Arsl
Arsl,A783,Art
Art,A784,Artau
Artau,A785,Arte
Arte,A786,Arth
Arth,A787,Arthur
Arthur,A788,"Arthur,M"
"Arthur,M",A789,"Arthur,S"
"Arthur,S",A791,Arto
Arto,A792,Aru
Aru,A793,Arunt
Arunt,A794,Arv
Arv,A795,Arw
Arw,A796,Arz
Arz,A797,Asa
Asa,A798,Asb
Asb,A799,Asc
Asc,A811,Asch
Asch,A812,Aschen
Aschen,A813,Ascl
Ascl,A814,Asco
Asco,A815,Ase
Ase,A816,Asf
Asf,A817,Asg
Asg,A818,Ash
Ash,A819,Ashbu
Ashbu,A821,Ashburt
Ashburt,A822,Ashby
Ashby,A823,Ashe
Ashe,A824,Asher
Asher,A825,Ashl
Ashl,A826,Ashm
Ashm,A827,Asht
Asht,A828,"Ashton,M"
"Ashton,M",A829,Ashw
Ashw,A831,Asi
Asi,A832,Asio
Asio,A833,Ask
Ask,A834,Askew
Askew,A835,Asm
Asm,A836,Aso
Aso,A837,Asp
Asp,A838,Asper
Asper,A839,Aspi
Aspi,A841,Aspl
Aspl,A842,Aspr
Aspr,A843,Ass
Ass,A844,Assen
Assen,A845,Asser
Asser,A846,Assh
Assh,A847,Assi
Assi,A848,Asso
Asso,A849,Assu
Assu,A851,Ast
Ast,A852,Aste
Aste,A853,Asti
Asti,A854,Astl
Astl,A855,Asto
Asto,A856,Aston
Aston,A857,Astor
Astor,A858,Astr
Astr,A859,Asu
Asu,A861,Ata
Ata,A862,Atch
Atch,A863,Ate
Ate,A864,Ath
Ath,A865,Athe
Athe,A866,Athen
Athen,A867,Ather
Ather,A868,"Atherton,M"
"Atherton,M",A869,Athi
Athi,A871,Ati
Ati,A872,Atk
Atk,A873,"Atkins,M"
"Atkins,M",A874,Atkinson
Atkinson,A875,"Atkinson,J"
"Atkinson,J",A876,"Atkinson,M"
"Atkinson,M",A877,"Atkinson,T"
"Atkinson,T",A878,Atky
Atky,A879,Atl
Atl,A881,Atr
Atr,A882,Att
Att,A883,Atter
Atter,A884,Atti
Atti,A885,Attw
Attw,A886,Atw
Atw,A887,Aub
Aub,A888,Aubert
Aubert,A889,Aubery
Aubery,A891,Aubes
Aubes,A892,Aubi
Aubi,A893,Aubin
Aubin,A894,Aubr
Aubr,A895,Aubry
Aubry,A896,Aubu
Aubu,A897,Auc
Auc,A898,Aud
Aud,A899,Audi
Audi,A911,Audin
Audin,A912,Audl
Audl,A913,Audo
Audo,A914,Audr
Audr,A915,Audu
Audu,A916,Aue
Aue,A917,Auf
Auf,A918,Aug
Aug,A919,Augi
Augi,A921,Augu
Augu,A922,Augus
Augus,A923,Aul
Aul,A924,Aum
Aum,A925,Aun
Aun,A926,Aur
Aur,A927,Auri
Auri,A928,Auriv
Auriv,A929,Auro
Auro,A931,Aus
Aus,A932,Austen
Austen,A933,"Austen,M"
"Austen,M",A934,Austin
Austin,A935,"Austin,J"
"Austin,J",A936,"Austin,M"
"Austin,M",A937,"Austin,T"
"Austin,T",A938,Aut
Aut,A939,Autr
Autr,A941,Auv
Auv,A942,Aux
Aux,A943,Auz
Auz,A944,Ava
Ava,A945,Avan
Avan,A946,Avau
Avau,A947,Ave
Ave,A948,Avell
Avell,A949,Aven
Aven,A951,Aver
Aver,A952,Avero
Avero,A953,Avery
Avery,A954,"Avery,M"
"Avery,M",A955,Avez
Avez,A956,Avi
Avi,A957,Avil
Avil,A958,Avit
Avit,A959,Avo
Avo,A961,Avos
Avos,A962,Avr
Avr,A963,Awa
Awa,A964,Awb
Awb,A965,Awd
Awd,A966,Awi
Awi,A967,Ax
Ax,A968,Axel
Axel,A969,Axo
Axo,A971,Axt
Axt,A972,Aya
Aya,A973,Ayc
Ayc,A974,Ayd
Ayd,A975,Aye
Aye,A976,Ayers
Ayers,A977,Ayl
Ayl,A978,Aylm
Aylm,A979,Aylw
Aylw,A981,Aym
Aym,A982,Ayn
Ayn,A983,Ayr
Ayr,A984,Ayres
Ayres,A985,Ayrt
Ayrt,A986,Ays
Ays,A987,Ayt
Ayt,A988,Ayton
Ayton,A989,Aza
Aza,A991,Azar
Azar,A992,Aze
Aze,A993,Azev
Azev,A994,Azi
Azi,A995,Azo
Azo,A996,Azr
Azr,A997,Azy
Azy,A998,Azz
Azz,A999,Ba
Ba,B111,Bab
Bab,B112,Babe
Babe,B113,Babi
Babi,B114,Babr
Babr,B115,Bac
Bac,B116,Bacci
Bacci,B117,Bach
Bach,B118,Bache
Bache,B119,Bachell
Bachell,B121,Bachet
Bachet,B122,Bachi
Bachi,B123,Bachm
Bachm,B124,Baci
Baci,B125,Back
Back,B126,Bacm
Bacm,B127,Baco
Baco,B128,"Bacon,M"
"Bacon,M",B129,Bacr
Bacr,B131,Bad
Bad,B132,Bade
Bade,B133,Baden
Baden,B134,Badg
Badg,B135,Badi
Badi,B136,Bado
Bado,B137,Badr
Badr,B138,Bae
Bae,B139,Baer
Baer,B141,Baert
Baert,B142,Baf
Baf,B143,Bag
Bag,B144,Bagi
Bagi,B145,Bagl
Bagl,B146,Bagn
Bagn,B147,Bago
Bago,B148,Bags
Bags,B149,Bah
Bah,B151,Bai
Bai,B152,Bail
Bail,B153,Baile
Baile,B154,"Bailey,L"
"Bailey,L",B155,"Bailey,S"
"Bailey,S",B156,Baill
Baill,B157,Baillo
Baillo,B158,Bails
Bails,B159,Baily
Baily,B161,Bain
Bain,B162,Bair
Bair,B163,Bait
Bait,B164,Baj
Baj,B165,Bak
Bak,B166,Bake
Bake,B167,"Baker,M"
"Baker,M",B168,Baks
Baks,B169,Bal
Bal,B171,Balb
Balb,B172,Balbo
Balbo,B173,Balc
Balc,B174,Bald
Bald,B175,Balder
Balder,B176,Baldi
Baldi,B177,Baldo
Baldo,B178,Baldu
Baldu,B179,Baldw
Baldw,B181,"Baldwin,M"
"Baldwin,M",B182,Bale
Bale,B183,Bales
Bales,B184,Balf
Balf,B185,Bali
Bali,B186,Ball
Ball,B187,Balla
Balla,B188,Ballar
Ballar,B189,Balle
Balle,B191,Balli
Balli,B192,Ballo
Ballo,B193,Balm
Balm,B194,Balo
Balo,B195,Bals
Bals,B196,Balt
Balt,B197,Balu
Balu,B198,Bam
Bam,B199,Bamp
Bamp,B211,Ban
Ban,B212,Banc
Banc,B213,Band
Band,B214,Bane
Bane,B215,Bang
Bang,B216,Bani
Bani,B217,Bank
Bank,B218,Bann
Bann,B219,Bao
Bao,B221,Bap
Bap,B222,Bar
Bar,B223,Barag
Barag,B224,Baran
Baran,B225,Barat
Barat,B226,Barau
Barau,B227,Barb
Barb,B228,Barbar
Barbar,B229,Barbat
Barbat,B231,Barbau
Barbau,B232,Barbe
Barbe,B233,Barber
Barber,B234,Barbet
Barbet,B235,Barbi
Barbi,B236,Barbil
Barbil,B237,Barbo
Barbo,B238,Barbou
Barbou,B239,Barbu
Barbu,B241,Barc
Barc,B242,Barch
Barch,B243,Barcl
Barcl,B244,Bard
Bard,B245,Bardi
Bardi,B246,Bardo
Bardo,B247,Bare
Bare,B248,Barf
Barf,B249,Barg
Barg,B251,Bari
Bari,B252,Barin
Barin,B253,Bark
Bark,B254,Barker
Barker,B255,Barki
Barki,B256,Barl
Barl,B257,Barlo
Barlo,B258,Barn
Barn,B259,Barnes
Barnes,B261,Barnh
Barnh,B262,Barnu
Barnu,B263,Baro
Baro,B264,Baron
Baron,B265,Baroni
Baroni,B266,Barot
Barot,B267,Barr
Barr,B268,Barras
Barras,B269,Barre
Barre,B271,Barrer
Barrer,B272,Barret
Barret,B273,Barrett
Barrett,B274,Barri
Barri,B275,Barrin
Barrin,B276,Barro
Barro,B277,Barrow
Barrow,B278,Barry
Barry,B279,"Barry,L"
"Barry,L",B281,Bars
Bars,B282,Bart
Bart,B283,Barth
Barth,B284,Barthel
Barthel,B285,Bartho
Bartho,B286,Bartholo
Bartholo,B287,Barti
Barti,B288,Bartl
Bartl,B289,"Bartlett,M"
"Bartlett,M",B291,Barto
Barto,B292,Barton
Barton,B293,Bartr
Bartr,B294,Baru
Baru,B295,Barw
Barw,B296,Bas
Bas,B297,Basc
Basc,B298,Base
Base,B299,Basi
Basi,B311,Basili
Basili,B312,Basin
Basin,B313,Basir
Basir,B314,Bask
Bask,B315,Basn
Basn,B316,Bass
Bass,B317,Basse
Basse,B318,Basset
Basset,B319,Bassi
Bassi,B321,Basso
Basso,B322,Bassu
Bassu,B323,Bast
Bast,B324,Baste
Baste,B325,Basti
Basti,B326,Basto
Basto,B327,Bat
Bat,B328,Bates
Bates,B329,Bath
Bath,B331,Bathu
Bathu,B332,Bati
Bati,B333,Bato
Bato,B334,Batt
Batt,B335,Batti
Batti,B336,Bau
Bau,B337,Baud
Baud,B338,Baudio
Baudio,B339,Baudo
Baudo,B341,Baudr
Baudr,B342,Baudu
Baudu,B343,Baue
Baue,B344,Bauf
Bauf,B345,Baug
Baug,B346,Baum
Baum,B347,Baumg
Baumg,B348,Baun
Baun,B349,Baur
Baur,B351,Baut
Baut,B352,Bav
Bav,B353,Bavi
Bavi,B354,Bax
Bax,B355,Bay
Bay,B356,Baye
Baye,B357,Bayl
Bayl,B358,Bayly
Bayly,B359,Bayn
Bayn,B361,Baz
Baz,B362,Bazi
Bazi,B363,Bazo
Bazo,B364,Be
Be,B365,Beal
Beal,B366,Bean
Bean,B367,Bear
Bear,B368,Beat
Beat,B369,Beau
Beau,B371,Beauch
Beauch,B372,Beaucl
Beaucl,B373,Beauf
Beauf,B374,Beaug
Beaug,B375,Beauh
Beauh,B376,Beaul
Beaul,B377,Beaum
Beaum,B378,Beaumo
Beaumo,B379,Beaun
Beaun,B381,Beaup
Beaup,B382,Beaur
Beaur,B383,Beaus
Beaus,B384,Beauv
Beauv,B385,Beauvo
Beauvo,B386,Beb
Beb,B387,Bec
Bec,B388,Bece
Bece,B389,Bech
Bech,B391,Bechs
Bechs,B392,Beck
Beck,B393,Becke
Becke,B394,Becker
Becker,B395,"Becker,P"
"Becker,P",B396,Becki
Becki,B397,Becm
Becm,B398,Bed
Bed,B399,Bede
Bede,B411,Bedi
Bedi,B412,Bedr
Bedr,B413,Bee
Bee,B414,Beer
Beer,B415,Beg
Beg,B416,Begi
Begi,B417,Begu
Begu,B418,Beh
Beh,B419,Behr
Behr,B421,Bei
Bei,B422,Beis
Beis,B423,Bek
Bek,B424,Bel
Bel,B425,Belan
Belan,B426,Belch
Belch,B427,Bele
Bele,B428,Belg
Belg,B429,Beli
Beli,B431,Belk
Belk,B432,Bell
Bell,B433,"Bell,L"
"Bell,L",B434,"Bell,R"
"Bell,R",B435,Bellan
Bellan,B436,Bellav
Bellav,B437,Belle
Belle,B438,Belleg
Belleg,B439,Bellen
Bellen,B441,Beller
Beller,B442,Belli
Belli,B443,Bellin
Bellin,B444,Bellm
Bellm,B445,Bello
Bello,B446,Bellon
Bellon,B447,Bellow
Bellow,B448,Bellu
Bellu,B449,Belm
Belm,B451,Belo
Belo,B452,Belt
Belt,B453,Belv
Belv,B454,Bem
Bem,B455,Ben
Ben,B456,Benc
Benc,B457,Bend
Bend,B458,Bendo
Bendo,B459,Bene
Bene,B461,Benede
Benede,B462,Benedi
Benedi,B463,Benef
Benef,B464,Benel
Benel,B465,Beng
Beng,B466,Beni
Beni,B467,Benj
Benj,B468,Benn
Benn,B469,Bennett
Bennett,B471,"Bennett,M"
"Bennett,M",B472,Beno
Beno,B473,Bens
Bens,B474,Bent
Bent,B475,Benth
Benth,B476,Bentl
Bentl,B477,Bento
Bento,B478,Benw
Benw,B479,Beo
Beo,B481,Ber
Ber,B482,Berar
Berar,B483,Berau
Berau,B484,Berc
Berc,B485,Berck
Berck,B486,Bere
Bere,B487,Beren
Beren,B488,Berens
Berens,B489,Beres
Beres,B491,Beret
Beret,B492,Berg
Berg,B493,Bergan
Bergan,B494,Berge
Berge,B495,Berger
Berger,B496,Bergi
Bergi,B498,Bergm
Bergm,B499,Berh
Berh,B497,Beri
Beri,B511,Berk
Berk,B512,Berkl
Berkl,B513,Berl
Berl,B514,Berlin
Berlin,B515,Berm
Berm,B516,Bern
Bern,B517,Bernar
Bernar,B518,"Bernard,J"
"Bernard,J",B519,"Bernard,M"
"Bernard,M",B521,"Bernard,T"
"Bernard,T",B522,Bernardi
Bernardi,B523,Bernat
Bernat,B524,Berne
Berne,B525,Bernet
Bernet,B526,Bernh
Bernh,B527,Berni
Berni,B528,Berno
Berno,B529,Berns
Berns,B531,Bero
Bero,B532,Berr
Berr,B533,Berry
Berry,B534,Bers
Bers,B535,Bert
Bert,B536,Berte
Berte,B537,Berth
Berth,B538,Berthe
Berthe,B539,Berthi
Berthi,B541,Bertho
Bertho,B542,Berti
Berti,B543,Bertin
Bertin,B544,Berto
Berto,B545,Bertol
Bertol,B546,Berton
Berton,B547,Bertr
Bertr,B548,"Bertrand,F"
"Bertrand,F",B549,"Bertrand,N"
"Bertrand,N",B551,Bertu
Bertu,B552,Berw
Berw,B553,Bes
Bes,B554,Besl
Besl,B555,Beso
Beso,B556,Bess
Bess,B557,Bessem
Bessem,B558,Bessi
Bessi,B559,Best
Best,B561,Bet
Bet,B562,Bethm
Bethm,B563,Beto
Beto,B564,Bett
Bett,B565,Beu
Beu,B566,Beul
Beul,B567,Beus
Beus,B568,Beut
Beut,B569,Bev
Bev,B571,Bew
Bew,B572,Bey
Bey,B573,Bez
Bez,B574,Bh
Bh,B575,Bi
Bi,B576,Bian
Bian,B577,Bianco
Bianco,B578,Biar
Biar,B579,Bib
Bib,B581,Bibl
Bibl,B582,Bic
Bic,B583,Bid
Bid,B584,Bide
Bide,B585,Bie
Bie,B586,Biel
Biel,B587,Bien
Bien,B588,Bies
Bies,B589,Bif
Bif,B591,Big
Big,B592,Bigl
Bigl,B593,Bigo
Bigo,B594,Bil
Bil,B595,Bill
Bill,B596,Bille
Bille,B597,Billi
Billi,B598,Billo
Billo,B599,Bim
Bim,B611,Bin
Bin,B612,Bing
Bing,B613,Binn
Binn,B614,Bio
Bio,B615,Bior
Bior,B616,Bir
Bir,B617,Bird
Bird,B618,Birk
Birk,B619,Bis
Bis,B621,Bish
Bish,B622,Biss
Biss,B623,Bit
Bit,B624,Biz
